Category	Subtype	RegularExpression
negativeIndexinformation	indexValueInterpretation	obstruction
negativeIndexinformation	indexValueInterpretation	sev(\\.|erity)?
negativeIndexinformation	indexValueInterpretation	severe[ \t]*obstruction
negativeIndexinformation	indexValueInterpretation	severely[ \t]*obstructed
negativeIndexinformation	indexValueInterpretation	severe[ \t]*(pad|ischemia|obstruction)
negativeIndexinformation	listIndex	"(?<!\\([ \t]{0,4})\\d{1,2}[ \t]*\\)"
negativeIndexinformation	flow	velocity
negativeIndexinformation	flow	flow
negativeIndexinformation	miscellaneous	plaques?
negativeIndexinformation	miscellaneous	(?:\\d[ \t]*)x(?:[ \t]*\\d)
negativeIndexinformation	unit	(mm|cm)?([ \t]*(\\/|per)?[ \t]*(s(ec)?))?
negativeIndexinformation	unit	hr
negativeIndexinformation	unit	min
negativeIndexinformation	unit	sec
negativeIndexinformation	unit	diameter
negativeIndexinformation	unit	mls?([ \t]*(\\/|per)?[ \t]*(m(in)?))?
negativeIndexinformation	unit	mm[ \t]*hg
nonCompressible	noncompressible	calcifi(ed|cations?)
nonCompressible	noncompressible	(un|no(n|t)|im)[ \t]*\\-?[ \t]*compressible
nonCompressible	noncompressible	calcified
pressure	pressureankle	ankle[ \t]+(b\\/?p|(blood[ \t]*press(\\.|ure)?)
pressure	pressureankle	dorsalis[ \t]*pedis[ \t]*(artery[ \t]*(systolic)?)?(b\\/?p|(blood[ \t]*press(\\.|ure)?)
pressure	pressureankle	posterior[ \t]*tibial[ \t]*(artery[ \t]*(systolic)?)?(b\\/?p|(blood[ \t]*press(\\.|ure)?)
pressure	pressuretoe	brachial[ \t]*(arm|artery)?[ \t]*(systolic)[ \t]*(b\\/?p|(blood[ \t]*press(\\.|ure)?)
pressure	pressuretoe	g\\.?t\\.?p\\.?
pressure	pressuretoe	(toe|digit(al)?)[ \t]*pressures?
pressure	pressureunspecified	pressures?
temporalreference	historical	earlier
temporalreference	historical	previous(ly)?
temporalreference	historical	prior
temporalreference	historical	today
temporalreference	date	(0?[1-9]|1[012])[- /.](0?[1-9]|[12][0-9]|3[01])[- /.](19|20)?[0-9]{2}
temporalreference	date	"(jan(\\.|uary)?|feb(\\.|ruary)?|mar(\\.|ch)?|apr(\\.|il))?|may|jun(\\.|e)|jul(\\.|y)|aug(\\.|ust)|sep(\\.|tember)|oct(\\.|ober)|nov(\\.|ember)|dec(\\.|ember)[ \t]+(0?[1-9]|[12][0-9]|3[01])[ \t]*[,][ \t]*(19|20)?[0-9]{2}"
